The Rise of Theodore Roosevelt (Paperback),Edmund Morris,4.24,99525,1979,biography,www.goodreads.com//book/show/40929.The_Rise_of_Theodore_Roosevelt
I Know Why the Caged Bird Sings (Paperback),Maya Angelou,4.2,597858,1969,biography,www.goodreads.com//book/show/13214.I_Know_Why_the_Caged_Bird_Sings
Wild: From Lost to Found on the Pacific Crest Trail (Hardcover),Cheryl Strayed,3.96,739501,2012,biography,www.goodreads.com//book/show/12262741-wild
The Hiding Place: The Triumphant True Story of Corrie Ten Boom (Paperback),Corrie ten Boom,4.41,288441,1971,biography,www.goodreads.com//book/show/561909.The_Hiding_Place
Washington: A Life (Hardcover),Ron Chernow,4.05,105184,2010,biography,www.goodreads.com//book/show/8255917-washington
Dreams from My Father: A Story of Race and Inheritance (Paperback),Barack Obama,3.83,327388,1995,biography,www.goodreads.com//book/show/88061.Dreams_from_My_Father
Eat_ Pray_ Love (Paperback),Elizabeth Gilbert,3.52,1793932,2006,biography,www.goodreads.com//book/show/19501.Eat_Pray_Love
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,3.84,604176,2011,biography,www.goodreads.com//book/show/10335308-is-everyone-hanging-out-without-me
The Wright Brothers (Hardcover),David McCullough,4.11,119010,2015,biography,www.goodreads.com//book/show/22609391-the-wright-brothers
Born a Crime: Stories From a South African Childhood (Hardcover),Trevor Noah,4.39,227319,2016,biography,www.goodreads.com//book/show/29780253-born-a-crime
Einstein: His Life and Universe (Hardcover),Walter Isaacson,4.08,263697,2007,biography,www.goodreads.com//book/show/10884.Einstein
When Breath Becomes Air (Kindle Edition),Paul Kalanithi,4.32,359719,2016,biography,www.goodreads.com//book/show/25899336-when-breath-becomes-air
Narrative of the Life of Frederick Douglass (Paperback),Frederick Douglass,3.96,127293,1845,biography,www.goodreads.com//book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
Tuesdays with Morrie (Paperback),Mitch Albom,4.08,820143,1997,biography,www.goodreads.com//book/show/6900.Tuesdays_with_Morrie
Theodore Rex (Paperback),Edmund Morris,4.16,59032,2001,biography,www.goodreads.com//book/show/40923.Theodore_Rex
Born Standing Up: A Comic's Life (Hardcover),Steve Martin,3.85,161653,2007,biography,www.goodreads.com//book/show/773858.Born_Standing_Up
A Beautiful Mind (Paperback),Sylvia Nasar,4.12,242403,1998,biography,www.goodreads.com//book/show/13912.A_Beautiful_Mind
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis (Hardcover),J.D. Vance,3.89,275004,2016,biography,www.goodreads.com//book/show/27161156-hillbilly-elegy
Just Kids (Hardcover),Patti Smith,4.11,259057,2010,biography,www.goodreads.com//book/show/341879.Just_Kids
Thomas Jefferson: The Art of Power (Hardcover),Jon Meacham,3.97,71905,2012,biography,www.goodreads.com//book/show/13533740-thomas-jefferson
The Last Lecture (Hardcover),Randy Pausch,4.26,416412,2008,biography,www.goodreads.com//book/show/2318271.The_Last_Lecture
The Story of My Life (Paperback),Helen Keller,4.08,225124,1902,biography,www.goodreads.com//book/show/821611.The_Story_of_My_Life
The Professor and the Madman: A Tale of Murder_ Insanity and the Making of the Oxford English Dictionary (Paperback),Simon Winchester,3.84,188676,1998,biography,www.goodreads.com//book/show/25019.The_Professor_and_the_Madman
Leonardo da Vinci (Hardcover),Walter Isaacson,4.16,61386,2017,biography,www.goodreads.com//book/show/34684622-leonardo-da-vinci
Titan: The Life of John D. Rockefeller_ Sr. (Paperback),Ron Chernow,4.18,40033,1997,biography,www.goodreads.com//book/show/16121.Titan
American Lion: Andrew Jackson in the White House (Hardcover),Jon Meacham,3.77,82162,2008,biography,www.goodreads.com//book/show/3147367-american-lion
On Writing: A Memoir of the Craft (Mass Market Paperback),Stephen King,4.31,276663,2000,biography,www.goodreads.com//book/show/10569.On_Writing
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses (Hardcover),Eric Ries,4.04,275851,2011,business,www.goodreads.com//book/show/10127019-the-lean-startup
The Tipping Point: How Little Things Can Make a Big Difference (Paperback),Malcolm Gladwell,3.94,938259,2000,business,www.goodreads.com//book/show/2612.The_Tipping_Point
Rework (Hardcover),Jason Fried,3.93,228484,2010,business,www.goodreads.com//book/show/6732019-rework
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change (Paperback),Stephen R. Covey,4.06,662442,1989,business,www.goodreads.com//book/show/36072.The_7_Habits_of_Highly_Effective_People
How to Win Friends and Influence People (Paperback),Dale Carnegie,4.15,690674,1936,business,www.goodreads.com//book/show/4865.How_to_Win_Friends_and_Influence_People
The 4-Hour Workweek (Hardcover),Timothy Ferriss,3.85,195760,2007,business,www.goodreads.com//book/show/368593.The_4_Hour_Workweek
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics_ #1),Steven D. Levitt,3.94,862364,2005,business,www.goodreads.com//book/show/1202.Freakonomics
Rich Dad_ Poor Dad (Paperback),Robert T. Kiyosaki,3.98,323611,1997,business,www.goodreads.com//book/show/69571.Rich_Dad_Poor_Dad
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It (Paperback),Michael E. Gerber,3.99,91577,1985,business,www.goodreads.com//book/show/81948.The_E_Myth_Revisited
Lean In: Women_ Work_ and the Will to Lead (Hardcover),Sheryl Sandberg,3.94,326213,2013,business,www.goodreads.com//book/show/16071764-lean-in
Start with Why: How Great Leaders Inspire Everyone to Take Action (Hardcover),Simon Sinek,4.06,153040,2009,business,www.goodreads.com//book/show/7108725-start-with-why
Made to Stick: Why Some Ideas Survive and Others Die (Hardcover),Chip Heath,3.95,146633,2006,business,www.goodreads.com//book/show/69242.Made_to_Stick
The Power of Habit: Why We Do What We Do in Life and Business (Hardcover),Charles Duhigg,4.04,476456,2011,business,www.goodreads.com//book/show/12609433-the-power-of-habit
Getting Things Done: The Art of Stress-Free Productivity (Paperback),David    Allen,3.98,192801,2001,business,www.goodreads.com//book/show/1633.Getting_Things_Done
